Date,tsla,fdx,qcom,de,amd,ups,aapl,ge,gm,avgo,ms,dis,cat,f,pypl,nvda,dow,tgt,hon,schw
2020-06-01,59.87333297729492,120.01608276367188,72.30854797363281,140.56040954589844,53.630001068115234,86.29715728759766,78.49003601074219,33.0428352355957,26.32090187072754,25.670080184936523,38.92253494262695,117.84051513671875,110.12315368652344,4.8488922119140625,154.52999877929688,8.775335311889648,31.23634910583496,108.38931274414062,134.16168212890625,34.42400360107422
2020-06-02,58.770668029785156,124.17053985595703,76.75244903564453,144.15122985839844,53.540000915527344,87.93999481201172,78.85340118408203,34.46035385131836,26.78010368347168,26.384443283081055,39.68879318237305,117.8206787109375,112.70030212402344,4.873674392700195,157.49000549316406,8.794268608093262,32.84629821777344,107.80876159667969,136.15328979492188,35.01801300048828
2020-06-03,58.86399841308594,127.76056671142578,76.87127685546875,149.24058532714844,52.72999954223633,90.09569549560547,79.28749084472656,35.97563171386719,28.40195655822754,27.399768829345703,40.846893310546875,121.22383117675781,116.1456298828125,5.113227367401123,156.77999877929688,8.738716125488281,33.67959213256836,110.42122650146484,140.7421875,37.252601623535156
2020-06-04,57.62533187866211,128.80612182617188,78.63516998291016,151.87010192871094,52.630001068115234,89.70454406738281,78.60466766357422,37.833072662353516,28.48988914489746,27.343122482299805,42.39682388305664,122.72201538085938,117.8546142578125,5.427125453948975,154.60000610351562,8.73971176147461,34.55333709716797,108.8156509399414,143.09173583984375,39.29861068725586
2020-06-05,59.04399871826172,131.58189392089844,80.92914581298828,157.12905883789062,53.099998474121094,92.70338439941406,80.84339141845703,38.51738739013672,29.90656852722168,28.068103790283203,43.12825393676758,123.84317016601562,123.48416900634766,6.063181400299072,156.0,8.892743110656738,35.572696685791016,110.23979187011719,148.1028289794922,40.373477935791016
2020-06-08,63.327999114990234,138.21603393554688,83.5064468383789,159.09884643554688,52.970001220703125,96.00645446777344,81.32140350341797,41.352420806884766,29.97496223449707,28.1070556640625,43.66812515258789,126.2839126586914,125.8602294921875,6.22012996673584,156.08999633789062,8.778093338012695,37.13412094116211,111.00177001953125,149.5254364013672,39.43060302734375
2020-06-09,62.711334228515625,133.87655639648438,82.02587890625,155.3289337158203,56.38999938964844,93.72908020019531,83.88935852050781,39.20170974731445,29.17380142211914,27.91230583190918,43.88581085205078,122.92044830322266,122.63426971435547,5.980576515197754,156.86000061035156,9.018357276916504,35.928672790527344,109.50504302978516,145.10166931152344,37.88432312011719
2020-06-10,68.336669921875,129.9071502685547,83.17742919921875,151.7381134033203,57.439998626708984,92.68598175048828,86.0476303100586,37.197635650634766,28.089309692382812,27.887521743774414,42.39682388305664,121.22383117675781,121.03491973876953,5.6253767013549805,159.91000366210938,9.338127136230469,35.25718307495117,108.85194396972656,141.44891357421875,35.9420280456543
2020-06-11,64.85600280761719,119.18333435058594,76.78900146484375,142.39820861816406,52.83000183105469,87.33155059814453,81.91641998291016,33.9715576171875,25.891019821166992,26.002914428710938,38.80933380126953,111.75849151611328,111.08271789550781,5.06366491317749,153.0399932861328,8.769371032714844,31.76220703125,107.04682159423828,131.64697265625,34.093990325927734
2020-06-12,62.35200119018555,122.8011245727539,77.90400695800781,146.05502319335938,53.5,88.20947265625,82.62367248535156,35.43795394897461,27.317462921142578,26.57830047607422,40.298309326171875,114.586181640625,112.5449447631836,5.336259841918945,155.25999450683594,8.905204772949219,33.355987548828125,106.03994750976562,132.62899780273438,34.47114181518555
2020-06-15,66.05999755859375,123.68937683105469,78.95503234863281,146.52626037597656,54.68000030517578,91.8254623413086,83.64549255371094,35.38906478881836,27.131832122802734,26.9182186126709,41.2735595703125,116.16374969482422,112.96531677246094,5.369302272796631,157.5500030517578,9.145718574523926,33.96274948120117,107.17378997802734,134.57470703125,34.556007385253906
2020-06-16,65.47533416748047,125.41034698486328,81.81565856933594,149.19346618652344,54.459999084472656,91.99060821533203,85.86228942871094,36.51331329345703,27.141603469848633,27.505115509033203,42.28363037109375,117.51309967041016,118.90559387207031,5.410604476928711,161.22000122070312,9.040788650512695,34.18118667602539,108.13531494140625,136.85079956054688,34.81057357788086
2020-06-17,66.11933135986328,125.52140808105469,82.19951629638672,146.56393432617188,54.54999923706055,92.9989242553711,85.74275970458984,35.38906478881836,26.535850524902344,27.745885848999023,41.5870246887207,116.72928619384766,117.18748474121094,5.2288737297058105,163.8300018310547,9.20777416229248,33.30744552612305,107.28264617919922,136.14407348632812,34.57486343383789
2020-06-18,66.9306640625,128.04736328125,82.18122863769531,145.9607696533203,54.040000915527344,93.51177978515625,85.77693939208984,35.58458709716797,26.46746063232422,28.21239471435547,41.4302978515625,117.44365692138672,116.6025619506836,5.2288737297058105,168.0500030517578,9.189833641052246,33.63914489746094,106.40277099609375,136.04318237304688,34.77286148071289
2020-06-19,66.72666931152344,127.34419250488281,81.16676330566406,145.9607696533203,54.22999954223633,93.67691040039062,85.28673553466797,34.94915008544922,25.97894859313965,27.07749366760254,40.86430358886719,113.45510864257812,116.48377990722656,5.146269798278809,164.36000061035156,9.232951164245605,33.695770263671875,109.35990905761719,133.41827392578125,34.57486343383789
2020-06-22,66.28800201416016,127.11287689208984,81.45923614501953,145.66860961914062,54.7599983215332,92.92070007324219,87.51818084716797,34.41147232055664,25.764007568359375,28.040679931640625,41.256141662597656,115.0128173828125,114.95758819580078,5.1875715255737305,170.25999450683594,9.497638702392578,33.768592834472656,111.05619812011719,133.02365112304688,34.33914566040039
