Date,orcl,ibm,avgo,gild,mmm,lmt,acn,blk,bmy,low,pypl,hd,bk,meta,tsla,tmus,abbv,crm,wmt,t
2024-06-05,122.01039123535156,165.9287567138672,140.3999481201172,62.52180862426758,98.52884674072266,462.6504211425781,288.5746765136719,779.1016845703125,40.17263412475586,218.41091918945312,63.529998779296875,328.26617431640625,58.448490142822266,494.09759521484375,175.0,179.68435668945312,163.93406677246094,235.79220581054688,66.89930725097656,17.800838470458984
2024-06-06,122.8759994506836,166.74163818359375,139.2255401611328,62.4924430847168,97.69335174560547,466.0216064453125,289.28863525390625,768.8800048828125,39.82195281982422,217.3958282470703,67.0199966430664,329.1011047363281,59.46084213256836,492.8001403808594,177.94000244140625,179.1859893798828,167.0355682373047,242.0027618408203,66.95913696289062,17.78138542175293
2024-06-07,125.28376770019531,168.5359344482422,139.75909423828125,63.32436752319336,100.31919860839844,467.5232238769531,285.9767150878906,764.1678466796875,40.40641784667969,215.62442016601562,67.30000305175781,325.0556640625,59.857845306396484,492.0016784667969,177.47999572753906,179.23582458496094,167.87782287597656,241.0956268310547,65.6927490234375,17.60629653930664
2024-06-10,123.87094116210938,168.90274047851562,143.1203155517578,63.86267852783203,100.12026977539062,464.8680419921875,287.9896240234375,761.6626586914062,41.46820831298828,217.0475311279297,67.08999633789062,330.5522766113281,60.28462219238281,501.6229553222656,173.7899932861328,180.10299682617188,168.9083709716797,241.0856475830078,66.7696762084961,17.372840881347656
2024-06-11,123.25406646728516,167.85194396972656,145.16310119628906,63.51033401489258,100.7767333984375,460.2338562011719,291.7477722167969,753.1729125976562,41.90656280517578,217.29632568359375,64.7699966430664,333.6932067871094,58.319461822509766,506.48345947265625,170.66000366210938,177.8204345703125,166.17347717285156,240.23829650878906,66.54033660888672,17.372840881347656
2024-06-12,139.67071533203125,167.53469848632812,148.58892822265625,62.972023010253906,100.66732025146484,456.5643310546875,283.3291320800781,765.5794677734375,41.31235122680664,223.93414306640625,63.43000030517578,342.0623779296875,58.170589447021484,507.8507995605469,177.2899932861328,173.22540283203125,164.57814025878906,235.06448364257812,66.12152099609375,17.129661560058594
2024-06-13,139.1433868408203,167.65365600585938,166.81887817382812,62.20861053466797,100.99555206298828,456.01739501953125,279.9477844238281,765.181884765625,40.40641784667969,225.7652587890625,61.540000915527344,345.77978515625,58.0614128112793,503.1200256347656,182.47000122070312,174.54112243652344,165.0438690185547,228.31561279296875,66.51041412353516,17.18802261352539
2024-06-14,137.4320831298828,167.74288940429688,172.38783264160156,64.45758819580078,100.3589859008789,455.7986145019531,284.3008728027344,764.8041381835938,40.133670806884766,222.27220153808594,60.6349983215332,344.7460632324219,57.58501434326172,503.67950439453125,178.00999450683594,175.41827392578125,167.05538940429688,231.21653747558594,66.82950592041016,17.158842086791992
2024-06-17,140.59600830078125,168.03036499023438,181.71044921875,63.674903869628906,99.990966796875,456.46490478515625,283.1308288574219,776.4849853515625,39.90962219238281,225.67568969726562,60.130001068115234,347.3900146484375,57.73388671875,506.14715576171875,187.44000244140625,176.8037567138672,168.1354522705078,229.76107788085938,67.2283706665039,17.18802261352539
2024-06-18,143.9091796875,169.07127380371094,179.09242248535156,62.565277099609375,100.22967529296875,457.44940185546875,282.95233154296875,779.0398559570312,39.75376510620117,226.67086791992188,59.119998931884766,351.7336120605469,58.24006652832031,499.0139465332031,184.86000061035156,177.0330047607422,169.8001708984375,231.08692932128906,67.4078598022461,17.55765724182129
2024-06-20,142.18792724609375,172.41204833984375,172.3401336669922,67.85582733154297,101.11491394042969,463.7542419433594,303.58746337890625,778.2246704101562,39.97780990600586,226.43202209472656,59.79999923706055,351.30621337890625,58.39886474609375,501.22186279296875,181.57000732421875,175.86680603027344,170.56317138671875,241.0457763671875,67.81669616699219,17.61602210998535
2024-06-21,140.78504943847656,170.96470642089844,164.79598999023438,70.0156478881836,101.84099578857422,465.00726318359375,306.3837890625,782.9666137695312,40.84477233886719,227.48690795898438,60.61000061035156,353.6519470214844,58.37901306152344,494.3084411621094,183.00999450683594,176.15585327148438,168.83900451660156,244.29559326171875,67.71697998046875,17.89811134338379
