Date,aapl,abbv,abt,acn,adbe,aig,amgn,amt,amzn,avgo,axp,ba,bac,biib,bk,bkng,blk,bmy,c,cat,chtr,cl,cmcsa,cof,cop,cost,crm,csco,cvs,cvx,dd,dhr,dis,dow,duk,emr,exc,f,fb,fdx,gd,ge,gild,gm,goog,googl,gs,hd,hon,ibm,intc,jnj,jpm,khc,ko,lin,lly,lmt,low,ma,mcd,mdlz,mdt,met,mmm,mo,mrk,ms,msft,nee,nflx,nke,nvda,orcl,pep,pfe,pg,pm,pypl,qcom,rtx,sbux,so,spg,t,tgt,tmo,tmus,tsla,txn,unh,unp,ups,usb,v,vz,wba,wfc,wmt,xom
2020-01-02,74.33351135253906,83.87166595458984,85.2569808959961,206.12533569335938,334.42999267578125,49.30652618408203,231.91757202148438,224.25228881835938,1898.010009765625,305.9160461425781,123.2672348022461,331.34857177734375,34.53759765625,294.239990234375,48.925106048583984,2074.580078125,493.36114501953125,60.914249420166016,77.41934204101562,145.35458374023438,490.42999267578125,66.16883087158203,43.9715690612793,101.89214324951172,62.35990905761719,281.1026611328125,166.99000549316406,46.44308853149414,71.39804077148438,113.31668090820312,61.819908142089844,154.32078552246094,148.1999969482422,49.968841552734375,85.66520690917969,74.73712921142578,43.34185028076172,9.26247501373291,209.77999877929688,152.41006469726562,170.9965057373047,11.861019134521484,61.97880172729492,36.92949676513672,1367.3699951171875,1368.6800537109375,227.91397094726562,213.26065063476562,175.8901824951172,126.97520446777344,59.00574493408203,141.22605895996094,134.38096618652344,29.6655216217041,52.7315673828125,206.32496643066406,129.0719451904297,386.4078369140625,117.94877624511719,301.0237731933594,194.7044219970703,52.83680725097656,111.34927368164062,48.77177429199219,172.11988830566406,44.29184341430664,88.43060302734375,50.26231384277344,158.57107543945312,56.3185920715332,329.80999755859375,101.02983856201172,239.43212890625,52.58762741088867,130.9285888671875,35.27473449707031,119.71337127685547,78.8780288696289,110.75,86.06571197509766,93.1202163696289,87.1733169555664,59.38516616821289,133.87060546875,35.13852310180664,123.13260650634766,325.39794921875,78.58999633789062,86.052001953125,125.10771942138672,286.74542236328125,177.63433837890625,112.31896209716797,56.20261001586914,189.65634155273438,57.25614547729492,56.046688079833984,51.50961685180664,116.50067901611328,64.56011962890625
2020-01-03,73.61083984375,83.07555389404297,84.2176284790039,205.7820281982422,331.80999755859375,48.92549514770508,230.34312438964844,224.3602294921875,1874.969970703125,298.13507080078125,122.04287719726562,330.7919006347656,33.82048797607422,290.8500061035156,48.300575256347656,2065.47998046875,488.11712646484375,60.375694274902344,75.96109771728516,143.3364715576172,494.4700012207031,66.07170104980469,43.6226692199707,100.308837890625,62.58854293823242,281.3341064453125,166.1699981689453,45.685340881347656,70.83000946044922,112.92475128173828,60.51536178588867,153.36566162109375,146.5,48.73240280151367,85.72209930419922,73.71463775634766,43.47541046142578,9.055987358093262,208.6699981689453,150.52334594726562,172.67359924316406,11.900788307189941,61.8267707824707,35.88227081298828,1360.6600341796875,1361.52001953125,225.24888610839844,212.55191040039062,174.0124969482422,125.96253967285156,58.28805160522461,139.59097290039062,132.6075897216797,29.318281173706055,52.44388198852539,200.9597625732422,128.64239501953125,400.3114013671875,117.10669708251953,298.0868225097656,194.01596069335938,52.7492790222168,110.68832397460938,48.27101516723633,170.6377410888672,44.63359069824219,87.67157745361328,49.45100402832031,156.59658813476562,56.719825744628906,325.8999938964844,100.75304412841797,235.5998077392578,52.40242004394531,130.74542236328125,35.08547592163086,118.90823364257812,78.72987365722656,108.76000213623047,84.44511413574219,93.24791717529297,86.66598510742188,59.328269958496094,134.11050415039062,35.31937026977539,121.85314178466797,321.85858154296875,78.16999816894531,88.60199737548828,123.44695281982422,283.8436584472656,176.37713623046875,112.25164794921875,55.547542572021484,188.14797973632812,56.646541595458984,56.046688079833984,51.19336700439453,115.47221374511719,64.04109191894531
2020-01-06,74.19739532470703,83.73117065429688,84.65885925292969,204.43829345703125,333.7099914550781,48.96359634399414,232.11074829101562,224.3013458251953,1902.8800048828125,297.6890563964844,121.51396179199219,331.7660827636719,33.772029876708984,290.82000732421875,48.75216293334961,2047.4000244140625,488.5339660644531,60.56803512573242,75.72282409667969,143.2398681640625,497.45001220703125,66.52823638916016,43.29314422607422,99.40409088134766,63.33160400390625,281.41119384765625,173.4499969482422,45.8484001159668,71.10920715332031,112.5421371459961,60.08700180053711,153.82333374023438,145.64999389648438,48.53717803955078,86.13932037353516,74.32234954833984,43.54219436645508,9.00682258605957,212.60000610351562,150.64125061035156,174.50404357910156,12.069806098937988,62.37786865234375,35.408058166503906,1394.2099609375,1397.81005859375,227.55409240722656,213.55191040039062,172.69908142089844,125.7375259399414,58.123172760009766,139.41683959960938,132.50216674804688,29.383974075317383,52.42470169067383,200.10800170898438,129.12075805664062,399.701904296875,117.84105682373047,298.880615234375,196.19775390625,52.6617546081543,111.6700210571289,48.13874053955078,170.80030822753906,44.813453674316406,88.04627990722656,49.27715301513672,157.00137329101562,57.003047943115234,335.8299865722656,100.66407775878906,236.58779907226562,52.675357818603516,131.24668884277344,35.040409088134766,119.0731430053711,79.64653015136719,110.16999816894531,83.95021057128906,93.4485855102539,85.98303985595703,59.56535720825195,134.8117218017578,35.35553741455078,120.70063781738281,324.171630859375,78.62000274658203,90.30799865722656,122.58760833740234,285.8140869140625,174.86654663085938,111.75154876708984,54.788047790527344,187.7411346435547,56.524620056152344,56.5305061340332,50.8867073059082,115.23713684082031,64.53279876708984
2020-01-07,73.84844207763672,83.25350952148438,84.1882095336914,200.02442932128906,333.3900146484375,48.68734359741211,229.92776489257812,219.52186584472656,1906.8599853515625,296.6642761230469,120.87730407714844,335.28515625,33.54914855957031,290.0899963378906,49.24217987060547,2068.050048828125,491.6551208496094,61.481651306152344,75.0652084350586,141.34727478027344,499.1600036621094,65.61516571044922,43.75080871582031,98.4206771850586,63.33160400390625,280.9676513671875,176.0,45.551055908203125,70.83963775634766,111.10502624511719,59.162139892578125,155.33560180664062,145.6999969482422,48.518585205078125,85.59882354736328,74.50562286376953,43.580360412597656,9.095317840576172,213.05999755859375,152.115234375,172.52029418945312,11.980325698852539,61.87428283691406,34.726375579833984,1393.3399658203125,1395.1099853515625,229.05198669433594,212.1538543701172,172.79635620117188,125.82190704345703,57.153324127197266,140.26821899414062,130.24954223632812,28.867807388305664,52.02195358276367,200.53880310058594,129.3648223876953,401.0467529296875,117.13607788085938,297.8684997558594,196.48867797851562,52.438072204589844,111.2812271118164,48.45998001098633,170.11181640625,44.57962417602539,85.70197296142578,49.180564880371094,155.56985473632812,56.95347595214844,330.75,100.6146469116211,239.45208740234375,52.79232406616211,129.1837615966797,34.923248291015625,118.33589935302734,79.99838256835938,109.66999816894531,86.3374252319336,93.15062713623047,85.71961975097656,59.38516616821289,133.28009033203125,35.491172790527344,120.9155044555664,326.00616455078125,78.91999816894531,93.81199645996094,124.9532241821289,284.0887756347656,173.54112243652344,111.5592041015625,54.265899658203125,187.24496459960938,55.8962516784668,56.24590301513672,50.46504592895508,114.16948699951172,64.0046615600586
2020-01-08,75.03638458251953,83.84356689453125,84.5313949584961,200.4168243408203,337.8699951171875,49.2588996887207,230.10165405273438,221.42579650878906,1891.969970703125,292.9635009765625,122.96358489990234,329.41009521484375,33.88832092285156,292.6600036621094,49.299835205078125,2062.89990234375,491.5387878417969,61.414329528808594,75.63705444335938,142.6025848388672,500.7699890136719,67.285888671875,44.198734283447266,99.46308898925781,61.864540100097656,284.1886291503906,177.3300018310547,45.579833984375,69.95391082763672,109.83589935302734,59.872825622558594,155.49478149414062,145.39999389648438,49.02059555053711,85.72209930419922,74.76606750488281,43.89518737792969,9.095317840576172,215.22000122070312,154.40484619140625,172.9611053466797,11.870962142944336,62.5203971862793,34.232398986816406,1404.3199462890625,1405.0400390625,231.2599334716797,215.3285675048828,172.94229125976562,126.87205505371094,57.19212341308594,140.24888610839844,131.26560974121094,28.708267211914062,52.11784362792969,203.04515075683594,130.53636169433594,397.6893615722656,118.99646759033203,303.124267578125,199.66925048828125,52.56449890136719,113.23489379882812,48.97018814086914,172.72232055664062,45.03828811645508,85.12549591064453,49.80836486816406,158.04783630371094,56.92751693725586,339.260009765625,100.38728332519531,239.9011993408203,52.9979248046875,129.84890747070312,35.20263671875,118.84031677246094,81.51685333251953,111.81999969482422,86.08511352539062,93.29048156738281,86.71475982666016,59.3661994934082,134.15663146972656,35.59968185424805,120.52482604980469,326.52459716796875,79.41999816894531,98.4280014038086,125.29116821289062,290.07855224609375,175.44155883789062,112.19393920898438,54.151973724365234,190.45021057128906,55.99941635131836,52.96355056762695,50.61838150024414,113.77769470214844,63.039451599121094
2020-01-09,76.63021850585938,84.48981475830078,84.75691986083984,202.2019500732422,340.45001220703125,49.8018798828125,230.78744506835938,222.260009765625,1901.050048828125,290.61029052734375,125.18699645996094,334.3507080078125,33.94646453857422,294.29998779296875,49.463172912597656,2084.2900390625,497.35467529296875,62.94343948364258,76.32328796386719,142.24530029296875,507.2799987792969,67.85900115966797,44.31558609008789,100.81037139892578,62.94102478027344,288.7500915527344,179.60000610351562,45.387996673583984,70.14645385742188,109.65860748291016,59.337379455566406,156.86776733398438,144.8300018310547,48.518585205078125,85.93071746826172,75.04579162597656,44.02875518798828,9.105151176452637,218.3000030517578,155.30889892578125,174.04405212402344,11.841135025024414,62.55839157104492,34.65721893310547,1419.8299560546875,1419.7900390625,235.96762084960938,218.62953186035156,174.216796875,128.212890625,57.512168884277344,140.66490173339844,131.74490356445312,28.698881149291992,53.06719207763672,204.4745635986328,132.69387817382812,401.4627685546875,119.50563049316406,307.098388671875,202.03530883789062,52.70064926147461,115.0719223022461,49.48038864135742,173.26736450195312,45.47895431518555,85.87490844726562,50.28162384033203,160.02230834960938,57.373592376708984,335.6600036621094,100.31807708740234,242.53594970703125,53.242698669433594,129.9356689453125,35.0494270324707,120.14019012451172,81.73908233642578,112.56999969482422,87.24960327148438,93.43034362792969,88.32456970214844,59.99211120605469,133.07708740234375,35.553863525390625,120.62248992919922,328.6282958984375,79.80999755859375,96.26799774169922,126.80711364746094,288.43157958984375,174.54498291015625,112.45360565185547,54.17095947265625,191.77003479003906,55.76725387573242,51.872589111328125,50.53213119506836,114.95307922363281,63.522056579589844
2020-01-10,76.80345916748047,83.41272735595703,83.69794464111328,203.6830291748047,339.80999755859375,49.5637321472168,230.1402587890625,226.509521484375,1883.1600341796875,283.92999267578125,124.66787719726562,327.96868896484375,33.66543960571289,296.510009765625,48.560001373291016,2086.89990234375,496.462890625,62.73187255859375,75.5322265625,141.10586547851562,505.0299987792969,68.14069366455078,43.79949951171875,99.86629486083984,62.321807861328125,286.6477355957031,180.1999969482422,45.20575714111328,69.42437744140625,108.66010284423828,58.130184173583984,157.3154754638672,144.6199951171875,47.87712860107422,85.7600326538086,74.21623229980469,44.13369369506836,9.095317840576172,218.05999755859375,153.9135284423828,172.03150939941406,11.602522850036621,61.78876495361328,34.232398986816406,1429.72998046875,1428.9599609375,235.4910125732422,217.68780517578125,173.83734130859375,128.16600036621094,57.16302490234375,140.3456268310547,130.4316864013672,28.81150245666504,53.2493782043457,204.69976806640625,134.72450256347656,400.3984680175781,118.4775161743164,309.1549377441406,200.98802185058594,52.75899887084961,115.3149185180664,49.57487106323242,172.56932067871094,45.16419219970703,86.01903533935547,50.4265022277832,159.28187561035156,57.48216247558594,329.04998779296875,99.74472045898438,243.83335876464844,53.31123733520508,129.6850128173828,35.590171813964844,120.256591796875,80.97984313964844,112.93000030517578,87.58924865722656,92.34188842773438,87.96358489990234,60.37144470214844,133.5937957763672,35.34310531616211,121.82384490966797,327.75091552734375,79.0,95.62999725341797,125.52291870117188,289.32366943359375,173.41445922851562,111.43418884277344,53.80070495605469,192.2860565185547,55.89992141723633,51.43620681762695,50.31171798706055,113.99317932128906,62.95749282836914
2020-01-13,78.44432067871094,82.90697479248047,83.4626235961914,205.57606506347656,345.6300048828125,50.125762939453125,228.84593200683594,231.0338134765625,1891.300048828125,285.78985595703125,125.90201568603516,328.26690673828125,33.97554016113281,293.8999938964844,48.88667678833008,2080.5,507.0574951171875,63.61663055419922,76.86654663085938,141.7721405029297,510.1499938964844,68.13097381591797,44.59798049926758,100.22032165527344,62.045536041259766,289.1840515136719,183.85000610351562,46.01145935058594,70.0501708984375,108.86540222167969,58.80193328857422,158.75811767578125,143.8800048828125,48.66733169555664,86.51863861083984,74.65030670166016,44.066917419433594,9.085484504699707,221.91000366210938,156.51756286621094,173.58404541015625,12.049920082092285,61.104652404785156,34.55842208862305,1439.22998046875,1440.030029296875,238.50624084472656,216.83343505859375,176.35716247558594,128.08163452148438,57.793426513671875,140.96482849121094,131.51483154296875,29.24320411682129,53.82474136352539,207.36276245117188,135.6422119140625,405.4200439453125,118.52647399902344,313.1687927246094,200.25106811523438,53.08966064453125,114.70257568359375,49.67880630493164,172.99960327148438,45.64982604980469,85.99982452392578,50.97703170776367,161.1971435546875,58.15481185913086,338.9200134277344,100.99030303955078,251.4781036376953,53.438514709472656,131.6129913330078,35.51807403564453,121.13933563232422,81.31316375732422,115.27999877929688,88.27823638916016,92.4574203491211,88.86117553710938,61.20598602294922,134.05514526367188,34.91242599487305,120.98387145996094,331.0311279296875,79.4000015258789,104.97200012207031,125.47461700439453,280.22625732421875,175.3245849609375,112.2804946899414,53.838680267333984,193.83412170410156,56.05154037475586,51.284423828125,49.93797302246094,113.50343322753906,63.5584716796875
2020-01-14,77.38506317138672,83.72332000732422,84.42760467529297,203.75167846679688,344.6300048828125,49.85903549194336,231.82098388671875,229.6009521484375,1869.43994140625,292.4321594238281,126.15669250488281,330.3843078613281,34.22749710083008,298.9700012207031,49.0115852355957,2071.47998046875,502.41448974609375,63.895530700683594,78.06744384765625,141.63694763183594,509.6199951171875,68.27667999267578,44.82194137573242,100.85954284667969,62.05506134033203,289.0682678222656,182.1199951171875,45.83881378173828,71.08032989501953,108.52944946289062,58.57801055908203,160.56884765625,145.1999969482422,48.565067291259766,86.57552337646484,74.14871215820312,43.70438766479492,9.134649276733398,219.05999755859375,159.31813049316406,173.4307098388672,11.960440635681152,61.0001335144043,34.726375579833984,1430.8800048828125,1430.5899658203125,238.94395446777344,216.31887817382812,175.5593719482422,127.35025787353516,57.63825225830078,141.7581787109375,133.04856872558594,29.778141021728516,53.70008087158203,205.5613250732422,137.31161499023438,402.6335144042969,117.56689453125,308.6283874511719,201.03651428222656,52.70064926147461,113.759765625,49.31032180786133,173.42990112304688,45.74875259399414,86.4033432006836,51.054298400878906,160.06179809570312,58.46871566772461,338.69000244140625,101.74159240722656,246.78746032714844,53.73224639892578,131.92149353027344,36.112892150878906,120.95503234863281,81.09095001220703,114.63999938964844,87.88037109375,92.14730834960938,88.77336883544922,61.56635284423828,135.7528533935547,34.90327072143555,122.34149169921875,331.80877685546875,79.80000305175781,107.58399963378906,126.16983032226562,282.5692443847656,176.2017059326172,112.78059387207031,53.72475814819336,194.54859924316406,55.94729995727539,51.815673828125,47.24509811401367,113.79729461669922,63.01212692260742
2020-01-15,77.05342864990234,84.72953033447266,86.04251098632812,204.0766143798828,342.94000244140625,49.325584411621094,233.46304321289062,231.00436401367188,1862.02001953125,287.64971923828125,127.15576171875,327.8493957519531,33.597599029541016,293.0899963378906,48.70412063598633,2065.159912109375,513.9880981445312,64.03015899658203,77.42886352539062,140.5651397705078,515.4000244140625,68.77207946777344,45.065372467041016,100.64319610595703,61.92169189453125,290.10015869140625,181.05999755859375,46.04982376098633,72.46669006347656,108.37080383300781,59.52235412597656,159.9818572998047,144.32000732421875,48.592960357666016,87.70394134521484,73.94615173339844,44.41036605834961,9.036320686340332,221.14999389648438,156.38980102539062,174.04405212402344,11.801365852355957,60.905120849609375,34.726375579833984,1439.199951171875,1439.199951171875,238.50624084472656,218.04702758789062,175.83180236816406,128.10035705566406,57.16302490234375,142.2322540283203,131.0547332763672,29.656137466430664,54.371337890625,207.01031494140625,137.7606964111328,407.28741455078125,117.02835845947266,312.21502685546875,203.41224670410156,53.235538482666016,114.04163360595703,48.989078521728516,171.90951538085938,46.09049987792969,87.95021057128906,51.13156509399414,161.09841918945312,59.37738800048828,339.07000732421875,101.61308288574219,245.08087158203125,53.61475372314453,134.1868438720703,36.65363693237305,122.18698120117188,81.77611541748047,114.8499984741211,87.01670837402344,92.40270233154297,89.30996704101562,62.192264556884766,135.7251739501953,34.70166778564453,114.27394104003906,334.2016906738281,80.2699966430664,103.69999694824219,124.72148132324219,290.5784912109375,176.2017059326172,113.41532135009766,52.18678283691406,198.26986694335938,56.004154205322266,51.63542556762695,46.305946350097656,112.9157485961914,62.91196823120117
