,48864
Returns,66.39%
Volatility,9.83%
Sharpe Ratio,675.60%
orcl Weight,1.82%
ibm Weight,0.04%
avgo Weight,2.02%
gild Weight,12.70%
mmm Weight,3.10%
lmt Weight,10.39%
acn Weight,0.88%
blk Weight,8.07%
bmy Weight,0.75%
low Weight,1.70%
pypl Weight,0.24%
hd Weight,7.07%
bk Weight,4.94%
meta Weight,5.48%
tsla Weight,2.00%
tmus Weight,6.31%
abbv Weight,10.99%
crm Weight,5.25%
wmt Weight,6.31%
t Weight,9.95%
