Date,f,spg,cof,xom,nvda,cop,wfc,gm,googl,gs,axp,lly,schw,bac,tgt,ms,intu,met,de,meta
2021-01-04,7.03791618347168,67.46900939941406,90.87477111816406,35.45215606689453,13.081202507019043,34.43267059326172,27.20067596435547,39.579063415527344,86.09332275390625,241.31207275390625,112.16401672363281,158.48953247070312,50.20423126220703,27.38151741027832,162.5939483642578,60.356937408447266,362.6012878417969,40.93046188354492,255.13844299316406,268.1326904296875
2021-01-05,7.145300388336182,67.76231384277344,93.01105499267578,37.160701751708984,13.371735572814941,36.40795135498047,27.96082878112793,40.70262908935547,86.78760528564453,246.7119903564453,112.7626724243164,159.2747802734375,50.213748931884766,27.591230392456055,165.1019744873047,61.381591796875,359.8404541015625,41.436763763427734,261.46826171875,270.1565856933594
2021-01-06,7.30225133895874,69.3103256225586,99.73564147949219,38.10893630981445,12.5834321975708,37.86113739013672,29.939064025878906,41.99229431152344,85.93121337890625,260.0251159667969,116.93412780761719,157.35951232910156,54.62897872924805,29.314546585083008,172.9282684326172,65.08267974853516,352.1631774902344,43.906097412109375,276.7970886230469,262.51959228515625
2021-01-07,7.483981609344482,69.35921478271484,102.84716033935547,38.40793228149414,13.311135292053223,38.896644592285156,30.616790771484375,42.324485778808594,88.49786376953125,265.5798034667969,116.00918579101562,158.80552673339844,56.19905090332031,29.96192741394043,174.9237518310547,66.19566345214844,359.6063232421875,44.039329528808594,285.72943115234375,267.9332580566406
2021-01-08,7.434418678283691,70.46727752685547,102.68927001953125,38.83506774902344,13.244050025939941,38.896644592285156,30.39698600769043,42.07046127319336,89.66946411132812,264.1501770019531,116.12361907958984,159.36094665527344,56.122920989990234,29.66103172302246,177.21209716796875,66.46947479248047,365.8792419433594,43.88832473754883,280.1813049316406,266.7668151855469
2021-01-11,7.68223237991333,67.73788452148438,101.52825164794922,40.01395797729492,13.587953567504883,39.47096633911133,30.442781448364258,43.975643157958984,87.59759521484375,267.5650329589844,115.4370346069336,178.06370544433594,57.33140563964844,30.15340232849121,178.74989318847656,67.18494415283203,363.807861328125,43.87944030761719,281.1440734863281,256.0690002441406
2021-01-12,8.078734397888184,69.6036605834961,102.87503051757812,40.90239334106445,13.4515380859375,41.26350021362305,31.0838680267334,46.721073150634766,86.65692138671875,275.1959228515625,115.97103881835938,171.22613525390625,58.23539352416992,30.691373825073242,182.24655151367188,66.9552993774414,357.29071044921875,44.59004211425781,287.97918701171875,250.33627319335938
2021-01-13,8.078734397888184,72.40637969970703,104.10106658935547,41.363704681396484,13.49842357635498,40.92415237426758,30.955652236938477,47.61015701293945,87.14671325683594,275.8606262207031,116.71480560302734,177.642333984375,56.62725830078125,30.509008407592773,180.1595458984375,66.74330139160156,356.596923828125,44.70551681518555,287.14984130859375,250.88461303710938
2021-01-14,8.40089225769043,77.36001586914062,106.25589752197266,42.978275299072266,13.167740821838379,41.65509033203125,31.825712203979492,50.34580993652344,86.33222198486328,280.3499450683594,118.03069305419922,178.7819366455078,56.455970764160156,30.992267608642578,181.24880981445312,67.547119140625,357.1343994140625,45.806949615478516,288.70367431640625,244.9026336669922
2021-01-15,8.120036125183105,75.77124786376953,104.51900482177734,40.91093826293945,12.827827453613281,39.262115478515625,29.343759536743164,48.82167053222656,86.16763305664062,274.10321044921875,116.47642517089844,182.68905639648438,55.90407943725586,30.098691940307617,178.31051635742188,66.46064758300781,362.50830078125,45.42499923706055,281.6016845703125,250.60545349121094
2021-01-19,8.276985168457031,75.50238037109375,104.82551574707031,41.722496032714844,12.993170738220215,40.02786636352539,29.88410758972168,53.57974624633789,89.00311279296875,267.9019775390625,120.86274719238281,190.07249450683594,56.36082077026367,29.879865646362305,172.2325897216797,66.23979949951172,376.1289367675781,46.295475006103516,281.2108459472656,260.3162536621094
2021-01-20,8.970863342285156,77.63703155517578,103.45088195800781,42.311946868896484,13.332832336425781,39.47096633911133,29.72841453552246,54.57631301879883,93.77130889892578,264.5053405761719,122.9510498046875,192.73472595214844,55.77084732055664,29.48778533935547,172.36074829101562,66.1073226928711,380.53546142578125,45.87800598144531,286.8829345703125,266.67706298828125
2021-01-21,9.524316787719727,77.00151824951172,100.81304931640625,41.098876953125,13.83334732055664,37.58269500732422,29.307125091552734,53.81423568725586,93.97480010986328,263.5036315917969,121.51116943359375,193.77854919433594,55.85649108886719,28.968055725097656,175.07936096191406,65.98365783691406,373.0021667480469,45.362823486328125,291.22991943359375,272.0508728027344
2021-01-22,9.5160551071167,77.79997253417969,97.84087371826172,40.51797103881836,13.678728103637695,37.147605895996094,29.215538024902344,54.12687683105469,94.3942642211914,263.52178955078125,120.28108215332031,197.40798950195312,55.571022033691406,28.7674617767334,175.66517639160156,65.48016357421875,366.2602844238281,45.17628860473633,290.91534423828125,273.6759948730469
2021-01-25,9.32606315612793,79.42130279541016,95.23091125488281,40.065216064453125,13.619624137878418,37.05188751220703,29.526933670043945,52.16307067871094,94.48004913330078,257.7395324707031,115.52288055419922,203.35498046875,54.31496810913086,28.4118595123291,174.05416870117188,63.934364318847656,365.8499450683594,44.954227447509766,284.27093505859375,277.17547607421875
2021-01-26,9.243457794189453,80.70046997070312,92.81600189208984,39.18531036376953,13.402162551879883,36.26873016357422,28.739301681518555,50.844093322753906,95.161865234375,256.5738220214844,110.75511169433594,203.70932006835938,53.48711013793945,28.211257934570312,171.81153869628906,62.9008903503418,366.2114562988281,44.510108947753906,282.1831970214844,281.20330810546875
