Date,tsla,nvda,pypl,fdx,aapl,amzn,low,nflx,tmus,tgt,goog,googl,msft,blk,ups,qcom,ms,gm,avgo,cat
2020-01-02,86.052001953125,239.5147705078125,110.75,152.41006469726562,74.33351135253906,1898.010009765625,117.94877624511719,329.80999755859375,78.58999633789062,123.13260650634766,1367.3699951171875,1368.6800537109375,158.57107543945312,493.36114501953125,112.31896209716797,86.06571197509766,50.26231384277344,36.92949676513672,305.9160461425781,145.35458374023438
2020-01-03,88.60199737548828,235.68112182617188,108.76000213623047,150.52334594726562,73.61083984375,1874.969970703125,117.10669708251953,325.8999938964844,78.16999816894531,121.85314178466797,1360.6600341796875,1361.52001953125,156.59658813476562,488.11712646484375,112.25164794921875,84.44511413574219,49.45100402832031,35.88227081298828,298.13507080078125,143.3364715576172
2020-01-06,90.30799865722656,236.6694793701172,110.16999816894531,150.64125061035156,74.19739532470703,1902.8800048828125,117.84105682373047,335.8299865722656,78.62000274658203,120.70063781738281,1394.2099609375,1397.81005859375,157.00137329101562,488.5339660644531,111.75154876708984,83.95021057128906,49.27715301513672,35.408058166503906,297.6890563964844,143.2398681640625
2020-01-07,93.81199645996094,239.53472900390625,109.66999816894531,152.115234375,73.84844207763672,1906.8599853515625,117.13607788085938,330.75,78.91999816894531,120.9155044555664,1393.3399658203125,1395.1099853515625,155.56985473632812,491.6551208496094,111.5592041015625,86.3374252319336,49.180564880371094,34.726375579833984,296.6642761230469,141.34727478027344
2020-01-08,98.4280014038086,239.9840087890625,111.81999969482422,154.40484619140625,75.03638458251953,1891.969970703125,118.99646759033203,339.260009765625,79.41999816894531,120.52482604980469,1404.3199462890625,1405.0400390625,158.04783630371094,491.5387878417969,112.19393920898438,86.08511352539062,49.80836486816406,34.232398986816406,292.9635009765625,142.6025848388672
2020-01-09,96.26799774169922,242.61965942382812,112.56999969482422,155.30889892578125,76.63021850585938,1901.050048828125,119.50563049316406,335.6600036621094,79.80999755859375,120.62248992919922,1419.8299560546875,1419.7900390625,160.02230834960938,497.35467529296875,112.45360565185547,87.24960327148438,50.28162384033203,34.65721893310547,290.61029052734375,142.24530029296875
2020-01-10,95.62999725341797,243.91751098632812,112.93000030517578,153.9135284423828,76.80345916748047,1883.1600341796875,118.4775161743164,329.04998779296875,79.0,121.82384490966797,1429.72998046875,1428.9599609375,159.28187561035156,496.462890625,111.43418884277344,87.58924865722656,50.4265022277832,34.232398986816406,283.92999267578125,141.10586547851562
2020-01-13,104.97200012207031,251.56488037109375,115.27999877929688,156.51756286621094,78.44432067871094,1891.300048828125,118.52647399902344,338.9200134277344,79.4000015258789,120.98387145996094,1439.22998046875,1440.030029296875,161.1971435546875,507.0574951171875,112.2804946899414,88.27823638916016,50.97703170776367,34.55842208862305,285.78985595703125,141.7721405029297
2020-01-14,107.58399963378906,246.8726348876953,114.63999938964844,159.31813049316406,77.38506317138672,1869.43994140625,117.56689453125,338.69000244140625,79.80000305175781,122.34149169921875,1430.8800048828125,1430.5899658203125,160.06179809570312,502.41448974609375,112.78059387207031,87.88037109375,51.054298400878906,34.726375579833984,292.4321594238281,141.63694763183594
2020-01-15,103.69999694824219,245.16543579101562,114.8499984741211,156.38980102539062,77.05342864990234,1862.02001953125,117.02835845947266,339.07000732421875,80.2699966430664,114.27394104003906,1439.199951171875,1439.199951171875,161.09841918945312,513.9880981445312,113.41532135009766,87.01670837402344,51.13156509399414,34.726375579833984,287.64971923828125,140.5651397705078
2020-01-16,102.697998046875,248.51991271972656,115.4000015258789,156.77304077148438,78.01863098144531,1877.93994140625,116.78358459472656,338.6199951171875,81.44000244140625,113.60978698730469,1451.699951171875,1450.1600341796875,164.05027770996094,518.5826416015625,114.06929016113281,89.07398986816406,54.512001037597656,35.121551513671875,291.35986328125,142.78604125976562
2020-01-17,102.0999984741211,248.86935424804688,116.04000091552734,157.2053985595703,78.88236999511719,1864.719970703125,119.80915832519531,339.6700134277344,82.1500015258789,114.19580841064453,1480.3900146484375,1479.52001953125,164.9684295654297,518.8153076171875,114.0596694946289,93.07207489013672,55.54545974731445,35.17094802856445,293.0110168457031,143.70008850097656
2020-01-21,109.44000244140625,247.53155517578125,116.1500015258789,154.79788208007812,78.3478012084961,1892.0,118.94361877441406,338.1099853515625,82.02999877929688,111.3829116821289,1484.4000244140625,1482.25,164.37606811523438,512.9024658203125,112.89599609375,91.74261474609375,54.009765625,34.568302154541016,292.3277587890625,141.82337951660156
2020-01-22,113.91200256347656,249.69798278808594,115.5,152.8424072265625,78.6274642944336,1887.4599609375,119.90751647949219,326.0,82.48999786376953,111.24617004394531,1485.949951171875,1483.8699951171875,163.58627319335938,520.385498046875,112.7709732055664,90.21906280517578,53.951820373535156,34.48926544189453,296.9774169921875,138.69227600097656
2020-01-23,114.44000244140625,252.44345092773438,117.88999938964844,152.19387817382812,79.00611877441406,1884.5799560546875,120.69437408447266,349.6000061035156,82.18000030517578,112.83819580078125,1486.6500244140625,1484.68994140625,164.59326171875,525.3096923828125,112.45360565185547,89.27776336669922,53.63309097290039,34.45962905883789,303.3160095214844,138.8089599609375
2020-01-24,112.96399688720703,250.06735229492188,116.9800033569336,151.39791870117188,78.77843475341797,1861.6400146484375,118.25511169433594,353.1600036621094,81.58000183105469,111.65638732910156,1466.7099609375,1466.1700439453125,162.9346923828125,520.3661499023438,112.19393920898438,86.99729919433594,52.68656921386719,33.8964958190918,307.4437561035156,136.50439453125
