Date,nvda,tsla,meta,amd,ge,avgo,crm,aapl,amzn,nflx,adbe,fdx,orcl,msft,f,googl,bkng,lly,intc,lin
2023-01-03,14.305580139160156,108.0999984741211,124.36555480957031,64.0199966430664,52.52413558959961,53.540184020996094,134.18431091308594,123.90462493896484,85.81999969482422,294.95001220703125,336.9200134277344,170.9667205810547,81.47088623046875,236.18350219726562,10.01294231414795,88.89987182617188,2017.6884765625,359.6761474609375,25.775142669677734,311.1636962890625
2023-01-04,14.739295959472656,113.63999938964844,126.98765563964844,64.66000366210938,55.581268310546875,54.1941032409668,138.97305297851562,125.18262481689453,85.13999938964844,309.4100036621094,341.4100036621094,174.9980926513672,82.2104721069336,225.85211181640625,10.295844078063965,87.86244201660156,2095.359375,357.8136901855469,26.69120979309082,309.619384765625
2023-01-05,14.255616188049316,110.33999633789062,126.55895233154297,62.33000183105469,56.44427490234375,53.689151763916016,135.73741149902344,123.85509490966797,83.12000274658203,309.70001220703125,328.44000244140625,174.8341522216797,82.04502868652344,219.1583709716797,10.501588821411133,85.98707580566406,2129.61279296875,353.694580078125,26.575496673583984,298.593994140625
2023-01-06,14.849224090576172,113.05999755859375,129.62969970703125,63.959999084472656,56.958919525146484,56.9210319519043,139.8889617919922,128.4122314453125,86.08000183105469,315.54998779296875,332.75,179.1645050048828,83.35877227783203,221.7412109375,10.7844877243042,87.12425994873047,2163.677978515625,357.6560363769531,27.703699111938477,309.0231628417969
2023-01-09,15.617717742919922,119.7699966430664,129.0813446044922,67.23999786376953,57.53689956665039,55.80472183227539,146.44985961914062,128.9373016357422,87.36000061035156,315.1700134277344,341.9800109863281,182.99334716796875,84.41368103027344,223.900146484375,10.878787994384766,87.80258178710938,2192.62939453125,344.7369079589844,28.26297950744629,314.65313720703125
2023-01-10,15.89853286743164,118.8499984741211,132.59078979492188,68.05000305175781,59.59546661376953,55.6151237487793,146.78836059570312,129.51190185546875,89.87000274658203,327.5400085449219,338.70001220703125,182.02890014648438,84.49183654785156,225.6056365966797,11.007379531860352,88.20159912109375,2205.07958984375,347.6143798828125,28.38833999633789,314.7606201171875
2023-01-11,15.990470886230469,123.22000122070312,132.4910888671875,69.05999755859375,61.51152038574219,55.92564010620117,144.2595672607422,132.24618530273438,95.08999633789062,327.260009765625,342.92999267578125,185.36587524414062,86.5430908203125,232.4275360107422,11.33314323425293,91.29393768310547,2208.912109375,355.162841796875,28.78369140625,322.1792907714844
2023-01-12,16.50013542175293,123.55999755859375,136.2996063232422,70.80000305175781,62.437870025634766,56.29323196411133,148.93881225585938,132.16693115234375,95.2699966430664,330.1300048828125,344.5400085449219,185.06690979003906,86.71891021728516,235.12869262695312,11.51317024230957,90.90489959716797,2240.643798828125,353.8916320800781,29.207975387573242,321.4853820800781
2023-01-13,16.88787841796875,122.4000015258789,136.56881713867188,71.0,63.49882125854492,56.00883483886719,148.8491973876953,133.5043487548828,98.12000274658203,332.82000732421875,344.3800048828125,181.92282104492188,87.12915802001953,235.83847045898438,10.904505729675293,91.89246368408203,2284.895263671875,356.3551940917969,29.03440284729004,326.56793212890625
2023-01-17,17.690351486206055,131.49000549316406,134.95367431640625,71.58999633789062,63.72843551635742,56.032047271728516,147.81381225585938,134.67335510253906,96.05000305175781,326.2200012207031,344.3800048828125,181.4405975341797,86.5430908203125,236.94261169433594,10.861642837524414,91.06450653076172,2317.342041015625,352.5317077636719,28.54262351989746,322.5506896972656
2023-01-18,17.36556625366211,128.77999877929688,132.62069702148438,70.52999877929688,62.762489318847656,55.5532112121582,144.80714416503906,133.9501495361328,95.45999908447266,326.3299865722656,341.30999755859375,180.9969482421875,84.69696807861328,232.4669647216797,10.638751029968262,90.89493560791016,2280.0400390625,346.8851318359375,27.780841827392578,317.0185241699219
2023-01-19,16.753969192504883,127.16999816894531,135.7412872314453,67.70999908447266,60.8543586730957,54.48236846923828,145.76290893554688,134.00961303710938,93.68000030517578,315.7799987792969,342.5299987792969,177.6792449951172,83.9448471069336,228.64198303222656,10.441579818725586,92.8201675415039,2298.854736328125,345.9686584472656,27.404775619506836,317.2139892578125
2023-01-20,17.82726287841797,133.4199981689453,138.9516143798828,70.06999969482422,61.503597259521484,55.213680267333984,150.58151245117188,136.5853729248047,97.25,342.5,356.3800048828125,180.2350311279297,85.22441864013672,236.81443786621094,10.630178451538086,97.77787780761719,2327.538330078125,341.0316467285156,28.17619514465332,321.201904296875
2023-01-23,19.180374145507812,143.75,142.83993530273438,76.52999877929688,63.15836715698242,56.263240814208984,155.18109130859375,139.79518127441406,97.5199966430664,357.4200134277344,364.9800109863281,184.35321044921875,86.90449523925781,239.1409912109375,10.973088264465332,99.54351806640625,2384.419189453125,337.22784423828125,29.188684463500977,319.1199035644531
2023-01-24,19.2523193359375,143.88999938964844,142.71031188964844,74.69999694824219,63.89470291137695,56.592132568359375,154.17555236816406,141.2019500732422,96.31999969482422,363.8299865722656,361.32000732421875,182.52076721191406,87.61753845214844,238.60862731933594,10.921650886535645,97.45867156982422,2385.173583984375,341.34698486328125,28.8511905670166,321.2116394042969
2023-01-25,19.310285568237305,144.42999267578125,141.0752410888672,74.91000366210938,63.96596145629883,56.65501403808594,155.47976684570312,140.53817749023438,97.18000030517578,367.9599914550781,358.1700134277344,181.13194274902344,87.5589370727539,237.19891357421875,10.96451473236084,94.98480224609375,2373.66650390625,344.6383361816406,28.639053344726562,318.9928894042969
