Date,nvda,ge,orcl,meta,avgo,lly,nflx,wmt,mmm,ibm,axp,rtx,bk,cat,cost,nee,gs,lmt,gm,tmus
2024-01-02,48.15766525268555,100.0225601196289,102.80282592773438,345.2505187988281,107.3824462890625,589.3344116210938,468.5,52.58402633666992,89.36479187011719,157.09385681152344,186.08187866210938,83.70840454101562,51.21379852294922,289.12445068359375,647.731689453125,60.22880554199219,380.994384765625,447.27142333984375,35.75961685180664,160.1315155029297
2024-01-03,47.55879211425781,98.5216293334961,101.22215270996094,343.43597412109375,104.7309799194336,614.7110595703125,470.260009765625,52.58732604980469,87.56938171386719,155.73207092285156,184.1154327392578,84.09148406982422,50.64671325683594,280.81744384765625,641.7984008789062,60.63965606689453,374.6069030761719,450.2132568359375,34.98590087890625,160.2996368408203
2024-01-04,47.98770523071289,98.99811553955078,101.35059356689453,346.0780029296875,103.78417205810547,611.5264892578125,474.6700134277344,52.07895278930664,87.87809753417969,156.47132873535156,185.52316284179688,83.8950424194336,50.85203552246094,282.5954284667969,645.4419555664062,60.453792572021484,375.7450866699219,448.98748779296875,35.20412826538086,160.51722717285156
2024-01-05,49.086463928222656,100.29257202148438,101.48890686035156,350.89349365234375,103.81088256835938,615.556884765625,474.05999755859375,51.732330322265625,88.21930694580078,154.81771850585938,187.4265594482422,83.86556243896484,51.22357940673828,285.3907470703125,653.067626953125,60.72769546508789,379.1694030761719,447.6440734863281,35.70009994506836,161.57546997070312
2024-01-08,52.24178695678711,101.87291717529297,103.39558410644531,357.5833740234375,106.34065246582031,623.000732421875,485.0299987792969,52.24070739746094,88.43865966796875,156.74368286132812,187.57528686523438,84.3174057006836,51.526676177978516,288.67010498046875,658.7221069335938,61.54939651489258,381.54388427734375,449.7033386230469,36.404380798339844,161.6150360107422
2024-01-09,53.12860107421875,102.2699966430664,102.37802124023438,356.3570251464844,107.09652709960938,622.453369140625,482.0899963378906,52.59062576293945,88.63363647460938,155.71261596679688,185.15635681152344,84.27811431884766,51.77111053466797,288.7095947265625,664.1875,60.659217834472656,376.5201721191406,447.4381408691406,36.245670318603516,161.40733337402344
2024-01-10,54.33833694458008,103.0006103515625,103.06232452392578,369.3578796386719,106.90656280517578,627.140625,478.3299865722656,53.24425506591797,87.98370361328125,156.8312225341797,183.37191772460938,84.55315399169922,51.556007385253906,289.756591796875,669.7424926757812,60.923336029052734,374.773681640625,446.5653991699219,36.017520904541016,161.496337890625
2024-01-11,54.810237884521484,103.10384368896484,103.90530395507812,368.560302734375,108.82691192626953,632.6438598632812,492.2300109863281,53.184837341308594,88.4874038696289,157.73585510253906,183.431396484375,83.80662536621094,51.556007385253906,288.4823913574219,670.5587768554688,59.39731979370117,372.60528564453125,444.3394470214844,35.57114791870117,160.38865661621094
2024-01-12,54.69825744628906,103.07208251953125,105.72021484375,373.3658447265625,109.58869934082031,639.8089599609375,492.1600036621094,53.2541618347168,87.83746337890625,161.27655029296875,180.4672088623047,84.79872131347656,53.628807067871094,286.8526306152344,680.175537109375,59.710350036621094,370.6429138183594,454.1944885253906,34.97597885131836,160.75457763671875
2024-01-16,56.369903564453125,101.6267318725586,105.69046020507812,366.35693359375,110.3089599609375,631.4993896484375,481.239990234375,53.42251968383789,87.44751739501953,162.4049072265625,179.40647888183594,83.98343658447266,54.15678405761719,283.7115783691406,678.433349609375,59.03538131713867,373.2921142578125,448.95806884765625,35.10493087768555,161.28866577148438
2024-01-17,56.04097366333008,100.76111602783203,105.5516128540039,367.26422119140625,109.19196319580078,625.86669921875,480.3299865722656,53.171627044677734,86.1801528930664,161.54891967773438,179.43621826171875,83.54142761230469,53.63858413696289,275.2169494628906,681.1212768554688,57.00069046020508,370.0836181640625,447.6146545410156,34.727996826171875,162.46559143066406
2024-01-18,57.094749450683594,102.08733367919922,107.80287170410156,375.00091552734375,113.17313385009766,620.3336181640625,485.30999755859375,53.88798141479492,86.4726333618164,162.28817749023438,178.2366485595703,83.95397186279297,53.423484802246094,278.44683837890625,684.2272338867188,56.39419174194336,369.8187255859375,450.6545104980469,34.30146026611328,163.07876586914062
2024-01-19,59.47823715209961,103.08796691894531,108.7648696899414,382.2989501953125,119.83049011230469,625.5383911132812,482.95001220703125,53.60408020019531,87.54500579833984,166.8015594482422,181.58746337890625,84.01290893554688,54.2314338684082,283.0909423828125,691.8528442382812,56.01268768310547,375.0091857910156,448.879638671875,35.223968505859375,163.34580993652344
2024-01-22,59.64120101928711,104.21564483642578,109.19132232666016,380.6339416503906,120.75059509277344,627.8272094726562,485.7099914550781,53.607383728027344,87.75623321533203,168.11474609375,183.4115447998047,83.51194763183594,54.02452087402344,286.4549560546875,689.4039306640625,55.61161804199219,378.69842529296875,449.8602294921875,35.03549575805664,162.5743865966797
2024-01-23,59.86015701293945,103.19913482666016,110.90704345703125,384.043701171875,121.32540130615234,626.633056640625,492.19000244140625,53.74272537231445,78.07234191894531,169.19447326660156,183.8675994873047,87.96160125732422,54.004817962646484,286.61370849609375,684.5059814453125,56.13007736206055,373.6060485839844,431.1405944824219,34.94622039794922,161.94140625
2024-01-24,61.34883499145508,103.18325805664062,113.3665771484375,389.5271911621094,124.05206298828125,630.6336059570312,544.8699951171875,52.98346710205078,75.74885559082031,169.18472290039062,184.21456909179688,87.90265655517578,54.10334396362305,288.4494934082031,683.4308471679688,55.768131256103516,372.2618408203125,423.2761535644531,34.420494079589844,160.22052001953125
