,38749
Returns,68.43%
Volatility,16.54%
Sharpe Ratio,413.84%
nvda Weight,0.09%
tsla Weight,0.21%
meta Weight,0.76%
amd Weight,0.60%
ge Weight,11.03%
avgo Weight,11.45%
crm Weight,5.10%
aapl Weight,1.94%
amzn Weight,1.49%
nflx Weight,0.79%
adbe Weight,0.87%
fdx Weight,2.36%
orcl Weight,8.14%
msft Weight,4.03%
f Weight,0.20%
googl Weight,8.47%
bkng Weight,10.92%
lly Weight,9.79%
intc Weight,10.19%
lin Weight,11.58%
