,4347
Returns,102.07%
Volatility,23.70%
Sharpe Ratio,430.63%
tsla Weight,13.85%
fdx Weight,3.21%
qcom Weight,7.24%
de Weight,14.06%
amd Weight,2.63%
ups Weight,0.52%
aapl Weight,4.36%
ge Weight,2.30%
gm Weight,9.81%
avgo Weight,4.09%
ms Weight,0.92%
dis Weight,13.12%
cat Weight,0.73%
f Weight,3.98%
pypl Weight,3.53%
nvda Weight,0.35%
dow Weight,2.43%
tgt Weight,11.97%
hon Weight,0.55%
schw Weight,0.34%
