,37673
Returns,59.78%
Volatility,9.93%
Sharpe Ratio,602.11%
nvda Weight,3.55%
ge Weight,4.86%
lly Weight,10.36%
avgo Weight,0.41%
meta Weight,0.52%
nflx Weight,5.30%
qcom Weight,1.17%
orcl Weight,0.15%
googl Weight,9.42%
cost Weight,8.12%
gm Weight,6.39%
amzn Weight,4.35%
wmt Weight,7.38%
axp Weight,3.18%
wfc Weight,1.33%
c Weight,5.18%
cl Weight,10.13%
msft Weight,0.58%
fdx Weight,6.56%
rtx Weight,11.05%
