,26627
Returns,58.10%
Volatility,11.84%
Sharpe Ratio,490.49%
tsla Weight,1.71%
amd Weight,1.24%
pfe Weight,10.60%
nvda Weight,1.06%
cost Weight,2.68%
avgo Weight,5.05%
acn Weight,8.31%
f Weight,4.32%
low Weight,10.12%
tmo Weight,7.51%
intu Weight,0.98%
aapl Weight,1.68%
hd Weight,7.70%
qcom Weight,4.98%
nee Weight,10.41%
unh Weight,1.15%
spg Weight,3.46%
cvs Weight,8.54%
msft Weight,0.72%
abbv Weight,7.78%
