,12670
Returns,44.47%
Volatility,12.61%
Sharpe Ratio,352.77%
intc Weight,0.83%
intu Weight,2.94%
usb Weight,0.37%
bkng Weight,2.03%
amgn Weight,0.91%
avgo Weight,4.69%
amd Weight,1.40%
lly Weight,10.75%
spg Weight,9.33%
cost Weight,9.14%
ibm Weight,10.75%
crm Weight,0.29%
meta Weight,1.01%
ba Weight,10.88%
adbe Weight,9.30%
qcom Weight,0.71%
gd Weight,9.49%
cat Weight,7.09%
unp Weight,7.78%
schw Weight,0.29%
