,44984
Returns,95.91%
Volatility,19.53%
Sharpe Ratio,491.15%
nvda Weight,1.80%
tsla Weight,11.20%
meta Weight,7.35%
amd Weight,0.91%
ge Weight,10.69%
avgo Weight,10.69%
crm Weight,10.93%
aapl Weight,2.55%
amzn Weight,0.39%
nflx Weight,1.90%
adbe Weight,0.41%
fdx Weight,9.66%
orcl Weight,3.39%
msft Weight,2.55%
f Weight,2.11%
googl Weight,4.83%
bkng Weight,0.14%
lly Weight,11.11%
intc Weight,0.31%
lin Weight,7.09%
