,6415
Returns,82.03%
Volatility,18.33%
Sharpe Ratio,447.58%
f Weight,10.08%
spg Weight,9.61%
cof Weight,9.92%
xom Weight,8.99%
nvda Weight,11.03%
cop Weight,3.04%
wfc Weight,1.78%
gm Weight,0.85%
googl Weight,9.19%
gs Weight,5.05%
axp Weight,2.88%
lly Weight,7.55%
schw Weight,0.01%
bac Weight,2.19%
tgt Weight,4.22%
ms Weight,2.37%
intu Weight,3.82%
met Weight,1.84%
de Weight,0.04%
meta Weight,5.54%
