,30284
Returns,34.05%
Volatility,15.34%
Sharpe Ratio,222.00%
xom Weight,7.25%
bmy Weight,11.25%
cop Weight,1.84%
cvx Weight,1.04%
mrk Weight,12.37%
lmt Weight,7.08%
lly Weight,5.59%
tmus Weight,9.60%
abbv Weight,9.58%
t Weight,5.65%
amgn Weight,9.80%
rtx Weight,0.80%
ko Weight,1.23%
khc Weight,1.42%
gd Weight,1.84%
pm Weight,5.50%
ibm Weight,5.06%
so Weight,1.55%
jnj Weight,0.22%
duk Weight,1.30%
