,15105
Returns,56.11%
Volatility,34.02%
Sharpe Ratio,164.93%
tsla Weight,11.86%
nvda Weight,1.55%
pypl Weight,2.68%
fdx Weight,7.81%
amzn Weight,13.74%
aapl Weight,0.14%
tgt Weight,11.37%
tmus Weight,3.99%
low Weight,1.25%
nflx Weight,13.43%
gm Weight,3.52%
qcom Weight,1.20%
goog Weight,4.18%
cat Weight,10.62%
googl Weight,2.68%
blk Weight,3.50%
avgo Weight,0.58%
msft Weight,0.22%
txn Weight,1.17%
ms Weight,4.51%
