,15076
Returns,41.23%
Volatility,32.37%
Sharpe Ratio,127.36%
tsla Weight,1.11%
nvda Weight,1.08%
pypl Weight,2.12%
fdx Weight,0.24%
amzn Weight,10.60%
aapl Weight,1.61%
tgt Weight,12.06%
tmus Weight,10.05%
low Weight,6.74%
nflx Weight,9.13%
gm Weight,4.51%
qcom Weight,5.84%
goog Weight,12.01%
cat Weight,4.45%
googl Weight,3.14%
blk Weight,2.65%
avgo Weight,1.95%
msft Weight,1.27%
txn Weight,8.43%
ms Weight,1.03%
